Observation,StateDate,Meal
433,Texas 18 November 1999,"2 double meat cheeseburgers with all vegetables and bacon, French fries, 2 cans of Coke, 5 jalapeno peppers, 5 pieces of fried chicken (white/dark meat), 3 buttermilk biscuits, and a steak."
434,Texas 17 November 1999,"10 pieces of deep-fried jumbo shrimp, 2 pieces of garlic bread, 2 pieces of chicken (dark meat), one tossed salad with thousand island dressing, one chocolate milkshake."
435,Utah 17 June 2010,"Lobster tail, apple pie, vanilla ice cream and 7UP."
436,Utah 15 October 1999,Regular prison menu.
437,Utah 26 January 1996,Pizza.
438,Utah 17 January 1977,"Steak, potatoes, milk and coffee and a six-pack of beer; consumed only milk and coffee (his uncle claims to have smuggled in three small, 70ml Jack Daniel's whiskey shot bottles that were consumed)."
439,Utah 14 September 1894,"After meal said, <U+0093>No hot coffee? Then give me hot whiskey. I like that better anyway<U+0094> (Last Words of the Executed, p. 111, by Robert Elder)."
440,Virginia 18 August 2011,Last meal menu confidential upon request.
441,Virginia 23 September 2010,"Fried chicken, sweet peas, a Dr Pepper, and apple pie for dessert."
442,Virginia 18 March 2010,Requested that final meal not be revealed to the public.
443,Virginia 20 May 2010,None.
444,Virginia 17 November 2009,Requested that final meal not be revealed to the public.
445,Virginia 10 November 2009,Chicken in red sauce and some strawberry cake.
446,Virginia 19 February 2009,No final meal request because he remained hopeful to the end that he would not be executed.
447,Virginia 24 July 2008,Requested that final meal not be revealed to the public
448,Virginia 10 July 2008,"Chicken stir fry, a salad, cookies and an orange drink. He then told jail officials that he did not want the last meal he'd ordered."
449,Virginia 25 June 2008,Cheese pizza and fried chicken tenders.
450,Virginia 27 May 2008,Requested that final meal not be revealed to the public
451,Virginia 09 November 2006,"Cheese pizza, a cheese omelet with sausage, green peppers and onions, and white cake with white icing."
452,Virginia 27 April 2006,Requested that final meal not be revealed to the public.
453,Virginia 09 September 2004,No final special meal request.
454,Virginia 19 August 2004,"French fries with lots of ketchup, tossed salad with French dressing, a cheeseburger with mayonnaise and tomato, Saltine crackers and apple pie."
455,Virginia 22 July 2004,Requested that final meal not be revealed to the public
456,Virginia 31 March 2004,"Fried chicken breasts, french fries, green beans and a plain chocolate brownie."
457,Virginia 18 March 2004,Requested that final meal not be revealed to the public.
458,Virginia 22 July 2003,"Regular prison menu: Hot dog with mustard and onions, oven-browned potatoes, cole-slaw and watermelon."
459,Virginia 09 April 2003,"No request. Offered same dinner served yesterday to all inmates: sloppy joes, boiled potatoes, corn, and chocolate cake."
460,Virginia 14 November 2002,"Fried rice, bananas, boiled eggs and wheat bread."
461,Virginia 12 June 2002,"Chose nothing special. Served standard prison fare of baked chicken, rice and carrots. Ate only chicken."
462,Virginia 16 March 2000,"Made no special request for a last meal and was served what the other inmates had: Salisbury steak, steamed rice, brown gravy, tossed salad, sliced bread, gingerbread cake with lemon sauce, fruit punch and milk."
463,Virginia 24 November 1999,"Stay of execution. Ate what would have been a last meal - fried chicken, French fries and apple pie (executed 16 March 2000)."
464,Virginia 19 October 1999,Requested that final meal not be revealed to the public.
465,Virginia 01 September 1999,"Stay of execution. Ate what would have been a last meal of oven-fried chicken, rice pilaf, a cucumber and onion salad, and bread and margarine."
466,Virginia 17 August 1999,Requested that final meal not be revealed to the public.
467,Virginia 22 July 1999,Requested that final meal not be revealed to the public.
468,Virginia 29 April 1999,Requested that final meal not be revealed to the public.
469,Virginia 28 April 1999,"Sausage pizza, french fries and sweet tea."
470,Virginia 20 April 1999,"Pepper steak, macaroni and cheese, biscuits, vanilla cake and tea."
471,Virginia 13 April 1999,Requested that final meal not be revealed to the public.
472,Virginia 25 March 1999,Requested that final meal not be revealed to the public.
473,Virginia 09 March 1999,"Vegetarian pizza, fried chicken breasts, a cheeseburger, fries, and chocolate pudding."
474,Virginia 04 February 1999,"Vegetarian pizza, french fries, yellow cake with chocolate frosting, and iced tea."
475,Virginia 20 January 1999,"Selected the vegetarian entree from Greensville Correctional Center's menu: Boiled potatoes, fried cabbage, bean entree, bread pudding, sliced bread, fruit punch and milk."
476,Virginia 03 December 1998,Requested that final meal not be revealed to the public.
477,Virginia 21 October 1998,"Ground beef pizza, french fries and apple pie."
478,Virginia 17 October 1998,Refused to make a last meal request.
479,Virginia 14 October 1998,"Pizza, a cheeseburger, french fries and apple pie."
480,Virginia 20 August 1998,Requested that final meal not be revealed to the public.
481,Virginia 14 April 1998,"Declined the traditional offer of a special last meal. Served what the other inmates were fed: bread, beef patties, au gratin potatoes, gravy, string beans, chilled fruit and beverage."
482,Virginia 18 March 1998,Requested that final meal not be revealed to the public.
483,Virginia 10 February 1998,Requested that final meal not be revealed to the public.
484,Virginia 11 December 1997,Declined a last meal.
485,Virginia 09 December 1997,Requested lasagna for last meal.
486,Virginia 13 November 1997,Declined a last meal.
487,Virginia 19 August 1997,Declined a last meal.
488,Virginia 10 December 1996,"Sausage pizza, french fries and cherry pie."
489,Virginia 19 October 1995,Last meal included chicken patties.
490,Virginia 24 July 1991,"Declined a special dinner and was served chili with rice, peas, a salad and chocolate cake."
491,Virginia 19 July 1990,"Fried steak, fries, greens (Last supper poem by Robert Johnson describes steak diced into small squares and re-assembled)."
492,Virginia 19 July 1990,Raisin bagels and coffee (DOC record for same inmate as preceding page).
493,Virginia 14 April 1988,Made no special request for a last meal. Had been fasting and refused to eat at all.
494,Virginia 31 July 1986,Requested seafood.
495,Washington 10 September 2010,"Pizza, apple pie, and Root Beer."
496,Washington 13 October 1998,"Combination pizza, corn, jellied fruit salad, french fries, ice cream, chocolate...clair."
497,Washington 27 May 1994,"Salmon, scalloped potatoes, peas, tossed salad, cake."
498,Washington 05 January 1993,"Salmon, potatoes, vegetable, green salad, desert."
499,Wyoming 22 January 1992,Fresh fruit and pizza.
500,Federal 18 March 2003,"Whole fruit: nectarines, peaches and plums."
